protein_pair,path_type,mean_wasserstein_distance,total_wasserstein_distance,path_length,geometric_feature_changes,tsi
TetR→rtTA,real,4.045228977418904,20.22614488709452,6,"{'d_consensus': 0.0, 'A_C': 0.011751770323099741, 'spectral_decay': 0.055998329782916655, 'density': 6.852968213065354e-05}",35.21314173915805
TetR→rtTA,null_1,3.5527549684338027,21.316529810602816,7,"{'d_consensus': 0.0, 'A_C': 0.008287412047563586, 'spectral_decay': 0.03499195134520169, 'density': 6.0405754815526464e-05}",
TetR→rtTA,null_2,3.577406005997864,21.464436035987184,7,"{'d_consensus': 0.0, 'A_C': 0.008537549082568865, 'spectral_decay': 0.04185059158865878, 'density': 5.954619481976723e-05}",
TetR→rtTA,null_3,3.580453291288111,21.482719747728666,7,"{'d_consensus': 0.0, 'A_C': 0.009112314506370114, 'spectral_decay': 0.04502435583387798, 'density': 6.060330477512897e-05}",
TetR→rtTA,null_4,3.596228337335237,21.577370024011422,7,"{'d_consensus': 0.0, 'A_C': 0.007653049138391034, 'spectral_decay': 0.04412720847963414, 'density': 6.193099286808217e-05}",
TetR→rtTA,null_5,3.5756335112296465,21.453801067377878,7,"{'d_consensus': 0.0, 'A_C': 0.008314570724535572, 'spectral_decay': 0.04006089080885633, 'density': 6.085393529894378e-05}",
TetR→rtTA,null_6,3.580897058091713,21.485382348550278,7,"{'d_consensus': 0.0, 'A_C': 0.008573015993167612, 'spectral_decay': 0.03731217616255814, 'density': 6.013218972889816e-05}",
TetR→rtTA,null_7,3.576333978891911,21.458003873351466,7,"{'d_consensus': 0.0, 'A_C': 0.007987882060417867, 'spectral_decay': 0.05948316056678068, 'density': 6.115429192784136e-05}",
TetR→rtTA,null_8,3.601968722039047,21.611812332234283,7,"{'d_consensus': 0.0, 'A_C': 0.009972355060763077, 'spectral_decay': 0.04877820090546814, 'density': 6.108412566673872e-05}",
TetR→rtTA,null_9,3.5798655899813703,21.47919353988822,7,"{'d_consensus': 0.0, 'A_C': 0.00811234202683539, 'spectral_decay': 0.03751118526537064, 'density': 5.9432122916724924e-05}",
TetR→rtTA,null_10,3.5823362795099194,21.494017677059517,7,"{'d_consensus': 0.0, 'A_C': 0.007516812912983811, 'spectral_decay': 0.03674498420646758, 'density': 6.013922354581761e-05}",
TetR→rtTA,null_11,3.576596768806725,21.459580612840348,7,"{'d_consensus': 0.0, 'A_C': 0.008818200091122469, 'spectral_decay': 0.04503743358776261, 'density': 6.0384775396624096e-05}",
TetR→rtTA,null_12,3.5809769980116055,21.485861988069633,7,"{'d_consensus': 0.0, 'A_C': 0.010038636056496955, 'spectral_decay': 0.05208899842283073, 'density': 6.109366941875661e-05}",
TetR→rtTA,null_13,3.5687974934003592,21.412784960402156,7,"{'d_consensus': 0.0, 'A_C': 0.009054089878840516, 'spectral_decay': 0.04514783990908481, 'density': 5.9666568422936346e-05}",
TetR→rtTA,null_14,3.5931388696373534,21.55883321782412,7,"{'d_consensus': 0.0, 'A_C': 0.009590750652084987, 'spectral_decay': 0.055805120615737246, 'density': 5.857702400146591e-05}",
TetR→rtTA,null_15,3.5908278353576883,21.54496701214613,7,"{'d_consensus': 0.0, 'A_C': 0.008785920652053775, 'spectral_decay': 0.04574114975833735, 'density': 6.11652546950405e-05}",
TetR→rtTA,null_16,3.577584823588067,21.4655089415284,7,"{'d_consensus': 0.0, 'A_C': 0.00946454054048578, 'spectral_decay': 0.044401441189823, 'density': 6.096015844958697e-05}",
TetR→rtTA,null_17,3.5938266717170637,21.56296003030238,7,"{'d_consensus': 0.0, 'A_C': 0.008490339072856614, 'spectral_decay': 0.03634472982921799, 'density': 6.0620899971580406e-05}",
TetR→rtTA,null_18,3.577428727718285,21.46457236630971,7,"{'d_consensus': 0.0, 'A_C': 0.010022278065903103, 'spectral_decay': 0.05512497400019256, 'density': 6.027027963350981e-05}",
TetR→rtTA,null_19,3.6079975319785333,21.6479851918712,7,"{'d_consensus': 0.0, 'A_C': 0.008874105304324392, 'spectral_decay': 0.0396036211278488, 'density': 6.026900007637126e-05}",
TetR→rtTA,null_20,3.556363379366349,21.338180276198095,7,"{'d_consensus': 0.0, 'A_C': 0.008777776199108587, 'spectral_decay': 0.04684872659148953, 'density': 5.916118440654446e-05}",
VanR→rVanR,real,4.048143009051128,20.24071504525564,6,"{'d_consensus': 0.0, 'A_C': 0.007141224959834292, 'spectral_decay': 0.08201099292829181, 'density': 6.886417576060022e-05}",40.384441569056825
VanR→rVanR,null_1,3.5649783064021725,21.389869838413034,7,"{'d_consensus': 0.0, 'A_C': 0.006393264327418907, 'spectral_decay': 0.0691249603497978, 'density': 6.248195096559947e-05}",
VanR→rVanR,null_2,3.566526306172648,21.39915783703589,7,"{'d_consensus': 0.0, 'A_C': 0.007268773384780501, 'spectral_decay': 0.07141436558579677, 'density': 6.267667861807248e-05}",
VanR→rVanR,null_3,3.563630638450116,21.381783830700698,7,"{'d_consensus': 0.0, 'A_C': 0.007273044372024686, 'spectral_decay': 0.07430117536133785, 'density': 6.209513715198212e-05}",
VanR→rVanR,null_4,3.55673918824214,21.34043512945284,7,"{'d_consensus': 0.0, 'A_C': 0.006831185805447976, 'spectral_decay': 0.07135947105854117, 'density': 6.396139668883068e-05}",
VanR→rVanR,null_5,3.581022308608952,21.48613385165371,7,"{'d_consensus': 0.0, 'A_C': 0.006626008061752721, 'spectral_decay': 0.07403798183519432, 'density': 6.317745628437887e-05}",
VanR→rVanR,null_6,3.5684260765923566,21.41055645955414,7,"{'d_consensus': 0.0, 'A_C': 0.0055487021163021415, 'spectral_decay': 0.0625975999351202, 'density': 6.210732138691734e-05}",
VanR→rVanR,null_7,3.546652953626905,21.27991772176143,7,"{'d_consensus': 0.0, 'A_C': 0.007425447315551809, 'spectral_decay': 0.07529033496055233, 'density': 6.364990065640356e-05}",
VanR→rVanR,null_8,3.568429961677964,21.410579770067784,7,"{'d_consensus': 0.0, 'A_C': 0.007089050978461307, 'spectral_decay': 0.07500268421332978, 'density': 6.120726603121134e-05}",
VanR→rVanR,null_9,3.5814674810850184,21.48880488651011,7,"{'d_consensus': 0.0, 'A_C': 0.006948153467025718, 'spectral_decay': 0.06949435221622051, 'density': 6.159248969217033e-05}",
VanR→rVanR,null_10,3.5550262560877894,21.330157536526738,7,"{'d_consensus': 0.0, 'A_C': 0.005906091084371855, 'spectral_decay': 0.06642233792253371, 'density': 6.38743049439066e-05}",
VanR→rVanR,null_11,3.5620472420247804,21.372283452148682,7,"{'d_consensus': 0.0, 'A_C': 0.010579968134948206, 'spectral_decay': 0.08762784883880892, 'density': 6.16928526964819e-05}",
VanR→rVanR,null_12,3.571117574512252,21.426705447073513,7,"{'d_consensus': 0.0, 'A_C': 0.007542374445732608, 'spectral_decay': 0.07271865833232576, 'density': 6.111061025723497e-05}",
VanR→rVanR,null_13,3.5537233877295606,21.322340326377365,7,"{'d_consensus': 0.0, 'A_C': 0.006024567679554699, 'spectral_decay': 0.06614586677574714, 'density': 6.270510313860564e-05}",
VanR→rVanR,null_14,3.5481081345789978,21.288648807473987,7,"{'d_consensus': 0.0, 'A_C': 0.0059627004642973935, 'spectral_decay': 0.06865497545665351, 'density': 6.210014912176784e-05}",
VanR→rVanR,null_15,3.5795614532526954,21.47736871951617,7,"{'d_consensus': 0.0, 'A_C': 0.007086438592613588, 'spectral_decay': 0.07657684471377713, 'density': 6.212500077330693e-05}",
VanR→rVanR,null_16,3.568838344495503,21.41303006697302,7,"{'d_consensus': 0.0, 'A_C': 0.006573734510872277, 'spectral_decay': 0.06278651413422513, 'density': 6.132612741067941e-05}",
VanR→rVanR,null_17,3.573179693281659,21.439078159689952,7,"{'d_consensus': 0.0, 'A_C': 0.006901298774573507, 'spectral_decay': 0.07544530968530716, 'density': 6.290517575548e-05}",
VanR→rVanR,null_18,3.5960378876353545,21.576227325812127,7,"{'d_consensus': 0.0, 'A_C': 0.005379546231033011, 'spectral_decay': 0.061416546422356756, 'density': 6.380242565548845e-05}",
